_id,CoordXAval,CoordYAval
665992d1c4de9b0113c1bfde,810128,6427556
665992d1c4de9b0113c1bfdf,810128,6427556
665992d1c4de9b0113c1bfe3,754472,6959759
665992d1c4de9b0113c1bfe7,659650,6906140
665992d1c4de9b0113c1bfff,905534,6812816
665992d1c4de9b0113c1c011,989144,6720547
665992d1c4de9b0113c1c012,989144,6720547
665992d1c4de9b0113c1c01c,772550,6707907
665992d1c4de9b0113c1c083,452145,6866086
665992d1c4de9b0113c1c084,452145,6866086
665992d1c4de9b0113c1c0a5,651606.66,1783576.63
665992d1c4de9b0113c1c0b4,696310,1644061
665992d1c4de9b0113c1c0b6,704840,1640598
665992d1c4de9b0113c1c0b7,704840,1640598
665992d1c4de9b0113c1c0b8,710265,1639658
665992d1c4de9b0113c1c0b9,710265,1639658
665992d1c4de9b0113c1c0c9,696236,1631379
665992d1c4de9b0113c1c0d9,715828,1622423
665992d1c4de9b0113c1c0db,716999,1617836
665992d1c4de9b0113c1c0fe,157318.408,559168.097
665992d1c4de9b0113c1c107,371152.979,450326.393
665992d1c4de9b0113c1c10d,568495.57,6970161.7
665992d1c4de9b0113c1c10e,378787.409,456485.366
665992d1c4de9b0113c1c113,242212.713,589628.458
665992d1c4de9b0113c1c143,735925,7005169
665992d1c4de9b0113c1c174,643687,7038901
665992d1c4de9b0113c1c17a,614175.48,7046280.75
665992d1c4de9b0113c1c18b,660887,6966059
665992d1c4de9b0113c1c19c,447042,6888543
665992d1c4de9b0113c1c1e2,995733,6723881
665992d1c4de9b0113c1c1eb,850643,6593430
665992d1c4de9b0113c1c203,833818,6535940
665992d1c4de9b0113c1c20a,952370,6566396
665992d1c4de9b0113c1c20b,965848,6558560
665992d1c4de9b0113c1c20c,981031,6548735
665992d1c4de9b0113c1c20d,992364,6541911
665992d1c4de9b0113c1c20f,981518,6561807
665992d1c4de9b0113c1c210,981518,6561807
665992d1c4de9b0113c1c212,969420,6591651
665992d1c4de9b0113c1c217,978409,6582432
665992d1c4de9b0113c1c218,978409,6582432
665992d1c4de9b0113c1c219,978409,6582432
665992d1c4de9b0113c1c225,928325,6534225
665992d1c4de9b0113c1c226,928325,6534225
665992d1c4de9b0113c1c229,923814,6506982
665992d1c4de9b0113c1c22b,923814,6506982
665992d1c4de9b0113c1c230,906286,6501504
665992d1c4de9b0113c1c231,906286,6501504
665992d1c4de9b0113c1c23c,915785,6485694
665992d1c4de9b0113c1c241,868256,6506701
665992d1c4de9b0113c1c242,867942,6515180
665992d1c4de9b0113c1c243,867942,6515180
665992d1c4de9b0113c1c24a,875720,6503066
665992d1c4de9b0113c1c266,847851,6417392
665992d1c4de9b0113c1c279,846658,6493782
665992d1c4de9b0113c1c27a,846658,6493782
665992d1c4de9b0113c1c27b,846658,6493782
665992d1c4de9b0113c1c28a,823795,6418353
665992d1c4de9b0113c1c28c,829785,6414044
665992d1c4de9b0113c1c28e,841133,6415763
665992d1c4de9b0113c1c28f,841133,6415763
665992d1c4de9b0113c1c290,854503,6406409
665992d1c4de9b0113c1c293,854503,6406409
665992d1c4de9b0113c1c294,845815,6409038
665992d1c4de9b0113c1c295,845815,6409038
665992d1c4de9b0113c1c29d,839360,6385015
665992d1c4de9b0113c1c29e,811930,6385033
665992d1c4de9b0113c1c29f,811525,6366928
665992d1c4de9b0113c1c2a0,827459,6355625
665992d1c4de9b0113c1c2a1,804374,6373206
665992d1c4de9b0113c1c2a2,804374,6373206
665992d1c4de9b0113c1c2a5,796296,6368341
665992d1c4de9b0113c1c2a6,796296,6368341
665992d1c4de9b0113c1c2ab,861887,6357453
665992d1c4de9b0113c1c2ad,837626,6338063
665992d1c4de9b0113c1c2b0,834279,6340131
665992d1c4de9b0113c1c2b1,801632,6348958
665992d1c4de9b0113c1c2b2,801632,6348958
665992d1c4de9b0113c1c2b5,800952,6348912
665992d1c4de9b0113c1c2b6,800867,6348822
665992d1c4de9b0113c1c2b8,776622,6358792
665992d1c4de9b0113c1c2ba,798679,6349227
665992d1c4de9b0113c1c2c0,863476,6317813
665992d1c4de9b0113c1c2c1,863476,6317813
665992d1c4de9b0113c1c2c5,759956,6342154
665992d1c4de9b0113c1c2c6,775255,6331025
665992d1c4de9b0113c1c2c7,775255,6331025
665992d1c4de9b0113c1c2c8,787958,6333152
665992d1c4de9b0113c1c2c9,981183,6499422
665992d1c4de9b0113c1c2ca,970333,6501263
665992d1c4de9b0113c1c2cb,954560,6503204
665992d1c4de9b0113c1c2cc,975397,6492952
665992d1c4de9b0113c1c2cd,989922,6485757
665992d1c4de9b0113c1c2ce,989922,6485757
665992d1c4de9b0113c1c2cf,992754,6491163
665992d1c4de9b0113c1c2d0,974411,6530945
665992d1c4de9b0113c1c2d2,965028,6517031
665992d1c4de9b0113c1c2d3,965028,6517031
665992d1c4de9b0113c1c2d8,968692,6454249
665992d1c4de9b0113c1c2db,957726,6408137
665992d1c4de9b0113c1c2de,942036,6404859
665992d1c4de9b0113c1c2df,942036,6404859
665992d1c4de9b0113c1c2e0,942036,6404859
665992d1c4de9b0113c1c2e1,942036,6404859
665992d1c4de9b0113c1c2e2,942036,6404859
665992d1c4de9b0113c1c2e4,947009,6399361
665992d1c4de9b0113c1c2e5,947009,6399361
665992d1c4de9b0113c1c2e6,947009,6399361
665992d1c4de9b0113c1c2e7,947009,6399361
665992d1c4de9b0113c1c2e8,947009,6399361
665992d1c4de9b0113c1c2ea,945911,6400177
665992d1c4de9b0113c1c2eb,945911,6400177
665992d1c4de9b0113c1c2ec,945911,6400177
665992d1c4de9b0113c1c2ed,945911,6400177
